source	target	mutualrank	logrank
PDS5	IMB3	0.03636363636363636	3.3141860046725258
FES1	UTP10	0.022727272727272728	3.784189633918261
UTP20	AP3B	0.03508771929824561	3.349904087274605
ECM29	IMB3	0.15384615384615385	1.8718021769015913
FES1	VATH	0.13333333333333333	2.0149030205422647
GCN1	NEW1	0.038461538461538464	3.258096538021482
UFD4	NMD5	0.022727272727272728	3.784189633918261
SF3B1	TOR1	0.10526315789473684	2.2512917986064953
IMB3	XPO1	0.06666666666666667	2.70805020110221
UTP10	CEX1	0.009852216748768473	4.620058798481842
COPG	EF3B	0.019230769230769232	3.951243718581427
UFD4	VAC14	0.02857142857142857	3.5553480614894135
MOT1	IMB2	0.021505376344086023	3.8394523125933104
AP3B	IMA1	0.07142857142857142	2.639057329615259
AP3B	CEX1	0.012422360248447204	4.388257184424518
EF3B	VID28	0.018018018018018018	4.0163830207523885
NMD5	SF3B1	0.05128205128205128	2.9704144655697013
STU2	RPN2	0.03076923076923077	3.481240089335692
AP2A	RTP1	0.03125	3.4657359027997265
STU2	UFD4	0.02666666666666667	3.624340932976365
CND3	AP3B	0.05128205128205128	2.9704144655697013
AP3D	STU2	0.038461538461538464	3.258096538021482
2AAA	TSC11	0.024096385542168676	3.7256934272366524
RPN2	IMB1	0.027777777777777776	3.58351893845611
UFD4	IMB4	0.02631578947368421	3.6375861597263857
COPB	STU1	0.028985507246376812	3.5409593240373143
STU2	TTI1	0.029850746268656716	3.5115454388310208
CND1	IMB2	0.028985507246376812	3.5409593240373143
FES1	SCC2	0.030303030303030304	3.4965075614664802
NMD5	CND1	0.02247191011235955	3.7954891891721947
AP3B	2AAA	0.07692307692307693	2.5649493574615367
UTP10	STU2	0.0625	2.772588722239781
TOR1	LAA1	0.020202020202020204	3.9019726695746444
UFD4	AP3B	0.03333333333333333	3.4011973816621555
HGH1	STU2	0.021505376344086023	3.8394523125933104
MET18	COPB	0.029850746268656716	3.5115454388310208
VATH	UFD4	0.08	2.5257286443082556
STU1	AP1G1	0.023809523809523808	3.7376696182833684
NMD5	VAC8	0.028985507246376812	3.5409593240373143
2AAA	CSE1	0.038461538461538464	3.258096538021482
IPI1	ECM29	0.03508771929824561	3.349904087274605
2AAA	TOR2	0.07692307692307693	2.5649493574615367
HSM3	VAC8	0.0392156862745098	3.2386784521643803
SF3B1	AP1B1	0.07407407407407407	2.6026896854443837
RPN6	SEC17	0.05	2.995732273553991
STU2	IMA1	0.04081632653061224	3.1986731175506815
VATH	TOR1	0.02040816326530612	3.891820298110627
CEX1	VPS15	0.10526315789473684	2.2512917986064953
RQC1	RPN6	0.017699115044247787	4.034240638152395
AP3D	TOR1	0.041666666666666664	3.1780538303479458
CEX1	AP1B1	0.01282051282051282	4.356708826689592
SF3B1	SHE4	0.03125	3.4657359027997265
GCN1	SCC3	0.024096385542168676	3.7256934272366524
STU1	STU2	1.0	-0.0
USO1	SHE4	0.07692307692307693	2.5649493574615367
TOR2	IPI1	0.017391304347826087	4.051784947803305
CND1	IMB4	0.02247191011235955	3.7954891891721947
LAA1	PDS5	0.022727272727272728	3.784189633918261
MET18	EF3B	0.028985507246376812	3.5409593240373143
RRP12	ATR	0.025	3.6888794541139363
UFD4	AP2A	0.023255813953488372	3.7612001156935624
VAC8	IMB4	0.044444444444444446	3.1135153092103742
GCN1	CND3	0.03225806451612903	3.4339872044851463
UTP20	UFD4	0.024390243902439025	3.713572066704308
EF3B	RRP12	0.020202020202020204	3.9019726695746444
VAC8	ECM29	0.05405405405405406	2.917770732084279
IPI1	PDS5	0.03225806451612903	3.4339872044851463
IMB4	GCN1	0.14285714285714285	1.9459101490553135
IMB4	CEX1	0.01	4.605170185988091
MET18	HGH1	0.019417475728155338	3.9415818076696905
MAK21	USO1	0.05555555555555555	2.890371757896165
BLM10	IMB2	0.027777777777777776	3.58351893845611
SDA1	CND1	0.03508771929824561	3.349904087274605
COPB	AP1B1	0.18181818181818182	1.7047480922384253
IMB2	SCY1	0.00980392156862745	4.624972813284271
SXM1	RRP12	0.05555555555555555	2.890371757896165
MET18	UTP20	0.09523809523809523	2.3513752571634776
IMA1	AP1B1	0.1	2.3025850929940455
AP3B	EF3B	0.019230769230769232	3.951243718581427
AP2A	RRP12	0.023529411764705882	3.7495040759303713
IMB4	MOT1	0.02247191011235955	3.7954891891721947
AP1B1	ECM29	0.06060606060606061	2.803360380906535
EF3A	UFD4	0.02197802197802198	3.817712325956905
COPG	MET18	0.043478260869565216	3.1354942159291497
IMB2	ATR	0.029411764705882353	3.5263605246161616
UTP20	COPB	0.03225806451612903	3.4339872044851463
