Supergroup,Group,Example species,Hawks detected
Archaeplastida,Viridiplantae,Arabidopsis thaliana,yes
Archaeplastida,Rhodophyta,Galderia sulphuraria,yes
Archaeplastida,Glaucophyta,Cynanophora paradoxa,no
Excavata,Parabasalia,Trichomonas vaginalis,yes
Excavata,Diplomonadida,Giardia lamblia,no
Excavata,Kinetoplastida,Trypanosoma cruzi,yes
Opisthokonta,Fungi,Saccharomyces cerevisae,yes
Opisthokonta,Metazoa,Homo sapiens,yes
Amoebozoa,Mycetozoa,Dictyolstelium discoideum,yes
Amoebozoa,Lobosa,Naegleria gruberi,yes
SAR,Rhizharia,Plasmodiophora brassicae,yes
SAR,Stramenopiles,Aphanomyces invadans,yes
SAR,Alveolata,Oxytricha trifallax,yes
Unknown,Haptophyta,Emiliana huxleyi,yes
Unknown,Cryptophyta,Guillardia theta,yes
,,,
Supp. Table 2,,,
