source	target	rank	prob	eval	pval	score	ss	nscore
FAM179A	DOHH	0.014637346533713196	97.99872448149516	3.0397368307141327e-5	1.5427248620541512e-9	73.24861773439824	27.749594591633226	0.8381666993969407
ARMC5	ARMC10	0.056412947505922614	99.4	1.3416407864998737e-13	6.6181568431097186e-18	145.1848132553815	25.34955620913313	0.7105631569396207
C1orf228	AP1G2	0.01342573303105519	97.99979591815485	9.407443861113388e-5	4.694677837722201e-9	79.19488619854188	33.81271950021175	0.8224129494033026
IPO4	SPAG6	0.013308154745793001	98.69979736554681	1.1392980294900892e-6	5.6480084985771756e-11	93.39978586699222	43.04857721226104	0.332803164363365
UNC45A	CAND1	0.01592610986055477	98.64998732893989	6.0e-5	3.024896692450835e-9	94.62557793746889	63.09968304199317	0.654249643218074
HEATR3	GPRASP1	0.032719083840852085	98.79994939269959	4.5166359162544856e-10	2.2501111083677623e-14	135.14421926223852	21.24947058164038	0.7918898466826357
PPP4R1	RAP1GDS1	0.021320097686527213	99.29994964751997	2.0248456731316586e-10	1.0099504938362077e-14	125.91997458703682	47.099575369635765	0.6681741486419434
MRO	KIAA1468	0.014738389097269666	97.79953987621823	1.1000000000000001e-5	5.449770637375484e-10	81.24998461538316	21.799770640995284	0.5395287323034833
DOHH	ARMCX1	0.017439148215124062	97.99872448149516	6.033241251599343e-6	2.9698484809834996e-10	69.39149803830438	20.1	0.4004691755155652
ARMC3	RRP12	0.013029652663889588	98.39994918697874	2.8142494558940577e-6	1.4198591479439078e-10	107.53883019635279	41.68548908193353	0.49749773868832814
PKP4	SARM1	0.05898400395154956	99.449987430869	7.713624310270757e-14	3.7788887255382365e-18	169.34981547081767	33.1849363416596	0.729906090940529
PDS5A	CAND2	0.05700477657199804	99.24998740554076	1.2782800945019836e-6	6.465291950097845e-11	114.82595525402782	86.69717411773004	0.5766622381263439
RANBP6	PPP4R1	0.058812249203015116	99.7	4.368065933568311e-15	2.1633307652783938e-19	182.20123490251103	62.599920127744575	0.8562845540765066
PPP4R1	PPP4R1L	0.41557424109384383	99.7499874686709	7.389181280764467e-18	3.605551275463989e-22	187.64583661781575	38.64996765845995	0.5772882712398775
PPP2R1B	KPNA3	0.027162545716285562	99.54998744349493	2.5495097567963923e-13	1.2489995996796796e-17	136.81228015057712	41.14996962331807	0.5181408073720438
HEATR6	RSPH14	0.018803985826398598	98.84938037236248	7.937253933193771e-10	3.872983346207417e-14	109.84971552079686	25.04755477087534	0.4504178661871684
NCAPG2	MRO	0.09872993071076501	98.69954407189529	7.348469228349534e-9	3.6932370625238774e-13	102.58240589886746	24.299794237811973	0.695279586971725
HEATR1	HEATR5B	0.0318789234507944	99.24998740554076	1.0535653752852738e-8	5.161395160225576e-13	153.2979125754816	75.6427128016969	0.8377971018870648
COPG2	CLASP2	0.017107150167844323	98.34998729028896	1.661324772583615e-5	8.342661445845684e-10	100.39681269841189	45.9972825284277	0.5377055636850442
ARMC6	TRIP12	0.02374742672000309	99.34988676390124	2.0736441353327723e-12	1.0488088481701515e-16	152.7997054970984	36.399450545303566	0.700740642862729
BHLHB9	ARMC7	0.06854050709806889	99.09979818344738	1.0770329614269008e-11	5.385164807134504e-16	107.4832079908299	18.54669781928848	0.7201709547611821
PPP2R1A	KPNA2	0.023438438201981087	99.4	5.61159513863928e-12	2.8142494558940575e-16	126.53359237767653	37.99671038392666	0.4545497562389856
CTNND2	USO1	0.035907909014359744	99.4	3.997499218261337e-12	1.9773719933285187e-16	161.4806489954756	43.49954022745528	0.5048823121700519
SPAG6	RSPH14	0.07340648263655175	99.84998748122105	1.2449899597988733e-19	6.324555320336759e-24	154.3486313512368	39.3	0.6099185802736478
INTS4	AP2A2	0.06118022709801443	99.14998739283833	2.872281323269014e-10	1.4324803663575987e-14	140.49088938432982	42.34926209510621	0.5100284356296902
AP1G2	ARMC10	0.014139580780720171	97.84998722534408	1.4071247279470288e-5	6.906518659932804e-10	81.87044643826	22.333830840229805	0.7578622771609314
COPG1	RAP1GDS1	0.01867961119433834	98.94988630614995	1.673320053068151e-7	8.366600265340756e-12	101.34791561744129	48.29161417886132	0.3571594061557827
STAG3L3	MROH5	0.01998287915223375	96.5489513148641	0.00047958315233127195	2.4738633753705963e-8	62.053605858161056	10.69579356569675	0.6676119746337345
USO1	APC2	0.025236637178866976	99.24998740554076	1.7972200755611428e-10	8.933084573650917e-15	149.78234208343787	47.699580710945455	0.5073613583030275
