Query	Hit	Rank	Probability	E-Value
CYC8	APC5	34	99.0	3.1e-14
CYC8	SEC17	36	98.7	1.1e-12
CYC8	RPN6	42	98.2	3.8e-10
CYC8	CLU	49	98.0	1.1e-9
CYC8	HIF1	61	97.2	2.9e-7
CYC8	TOR1	63	97.0	5.6e-7
CYC8	FIS1	64	96.7	2.8e-6
CYC8	RQC1	68	95.4	0.00013
CYC8	TOR2	73	93.8	0.0011
CYC8	HIR3	79	77.3	0.13
CYC8	RPN1	87	42.5	1.7
EF3A	EF3B	1	100.0	3.0e-172
EF3A	NEW1	4	100.0	2.0e-156
EF3A	GCN1	34	98.8	6.3e-13
EF3A	MOT1	40	98.1	6.1e-10
EF3A	VAC14	42	97.8	8.1e-9
EF3A	2AAA	44	97.5	3.9e-8
EF3A	STU2	46	97.1	5.1e-7
EF3A	IMB2	47	97.1	5.0e-7
EF3A	TOR2	48	97.1	4.4e-7
EF3A	SF3B1	51	97.0	6.8e-7
EF3A	ECM29	52	97.0	7.7e-7
EF3A	IMB3	53	96.7	2.5e-6
EF3A	TOR1	55	96.6	3.6e-6
EF3A	IMB4	57	96.3	1.0e-5
EF3A	MET18	58	96.1	2.5e-5
EF3A	IMB1	59	96.1	1.9e-5
EF3A	AP1B1	60	95.8	4.5e-5
EF3A	VAC8	62	95.6	8.4e-5
EF3A	IMA1	63	95.5	9.1e-5
EF3A	UTP20	64	95.3	0.00014
EF3A	CEX1	65	95.2	0.0002
EF3A	STU1	66	94.7	0.00038
EF3A	UTP10	67	94.1	0.00084
EF3A	UFD4	68	92.7	0.0029
EF3A	COPG	69	92.7	0.0029
EF3A	AP3D	70	92.6	0.0031
EF3A	DOHH	71	92.5	0.0033
EF3A	CSE1	72	92.5	0.0033
EF3A	KA120	75	92.2	0.004
EF3A	RRP12	76	91.8	0.005
EF3A	VPS15	77	91.3	0.0064
EF3A	SXM1	78	91.0	0.0075
EF3A	AP3B	79	90.7	0.0084
EF3A	COPB	80	89.9	0.011
EF3A	AP2B	81	88.8	0.017
EF3A	RTP1	82	87.5	0.024
EF3A	FES1	83	87.0	0.027
EF3A	CND3	84	85.6	0.037
EF3A	NMD5	85	85.2	0.041
EF3A	PDS5	86	83.5	0.056
EF3A	VID28	88	81.3	0.08
EF3A	SHE4	89	81.0	0.083
EF3A	BLM10	91	73.9	0.19
EF3A	AP1G1	92	72.2	0.23
EF3A	AP2A	94	65.6	0.39
EF3A	XPO1	95	60.7	0.56
EF3A	SCY1	96	58.3	0.65
EF3A	IPI1	97	57.9	0.67
EF3A	SCC2	98	57.4	0.69
VPS15	SCY1	6	100.0	2.0e-36
VPS15	CEX1	37	99.9	1.1e-33
VPS15	TFC6	180	99.0	4.8e-14
VPS15	KOG1	189	98.9	8.1e-14
VPS15	2AAA	221	98.4	5.2e-11
USO1	IMA1	7	97.6	2.3e-8
USO1	VAC8	8	97.6	2.3e-8
USO1	VID28	11	96.9	1.3e-6
USO1	FES1	13	96.4	8.8e-6
USO1	VATH	15	96.1	2.4e-5
USO1	SHE4	16	96.0	2.8e-5
USO1	HGH1	19	94.0	0.00093
USO1	UFD4	23	90.2	0.01
USO1	SIL1	24	88.5	0.018
USO1	IMB3	26	86.9	0.028
USO1	AP3D	27	82.2	0.069
USO1	SF3B1	28	81.1	0.082
USO1	IMB2	29	80.7	0.086
USO1	TOR1	30	77.6	0.13
USO1	GCN1	32	75.8	0.16
USO1	VAC14	35	71.1	0.25
USO1	2AAA	36	71.0	0.25
USO1	SYO1	37	69.2	0.29
USO1	AP1B1	38	67.1	0.35
USO1	AP2B	40	59.7	0.6
USO1	TOR2	41	57.8	0.68
USO1	SCC2	42	55.7	0.77
USO1	COPG	43	52.7	0.94
USO1	RTP1	44	49.2	1.2
USO1	MAK21	45	48.7	1.2
USO1	HYM1	46	48.5	1.2
USO1	DOHH	47	43.2	1.7
USO1	ECM29	49	41.8	1.8
USO1	IMB4	50	40.9	1.9
USO1	COPB	51	40.9	1.9
USO1	AP3B	52	39.0	2.1
USO1	STU2	53	36.6	2.5
USO1	MOT1	54	32.8	3.1
USO1	AP2A	56	31.0	3.5
USO1	MET18	57	27.7	4.3
USO1	UTP20	58	25.3	5.1
USO1	IMB1	59	22.8	6.1
USO1	KOG1	60	22.1	6.4
USO1	AP1G1	61	21.8	6.6
USO1	TSC11	65	20.1	7.6
AP2B	AP3D	1	100.0	9.9e-57
AP2B	AP2A	2	100.0	1.6e-55
AP2B	COPG	3	100.0	9.3e-46
AP2B	COPB	4	100.0	1.3e-51
AP2B	AP3B	5	100.0	1.4e-60
AP2B	AP1G1	6	100.0	7.1e-64
AP2B	AP1B1	7	100.0	1.6e-77
AP2B	2AAA	8	99.3	1.4e-16
AP2B	VAC8	9	98.7	2.0e-12
AP2B	IMA1	10	98.5	2.1e-11
AP2B	SF3B1	11	98.3	1.1e-10
AP2B	GCN1	12	98.3	1.2e-10
AP2B	IMB3	13	98.2	2.6e-10
AP2B	IMB2	14	98.2	2.2e-10
AP2B	VAC14	15	98.2	1.8e-10
AP2B	VID28	16	97.9	2.9e-9
AP2B	TOR1	17	97.8	7.0e-9
AP2B	RPN2	18	97.8	5.9e-9
AP2B	TOR2	19	97.7	1.2e-8
AP2B	DOHH	20	97.7	1.1e-8
AP2B	ECM29	21	97.6	1.8e-8
AP2B	STU2	22	97.2	2.9e-7
AP2B	IMB1	23	97.2	2.0e-7
AP2B	SHE4	24	97.0	7.1e-7
AP2B	IMB4	25	96.7	2.2e-6
AP2B	PDS5	26	96.4	7.4e-6
AP2B	UFD4	27	96.3	1.0e-5
AP2B	MET18	28	96.1	2.1e-5
AP2B	UTP20	29	96.0	2.7e-5
AP2B	SCC2	30	95.9	4.3e-5
AP2B	UTP10	31	95.6	7.8e-5
AP2B	VPS15	32	95.5	9.9e-5
AP2B	CND1	33	95.2	0.00019
AP2B	NEW1	34	95.1	0.00022
AP2B	VATH	35	94.9	0.00028
AP2B	CND3	36	94.8	0.00036
AP2B	EF3B	37	94.5	0.0005
AP2B	CSE1	38	94.5	0.00053
AP2B	CEX1	39	94.4	0.00062
AP2B	EF3A	40	94.4	0.00059
AP2B	RRP12	41	94.2	0.00079
AP2B	MOT1	42	94.0	0.00094
AP2B	RTP1	43	93.8	0.0011
AP2B	KA120	44	93.5	0.0015
AP2B	NMD5	45	93.3	0.0019
AP2B	RPN1	46	92.5	0.0033
AP2B	STU1	47	91.4	0.006
AP2B	SXM1	48	90.9	0.0076
AP2B	FES1	49	87.8	0.022
AP2B	XPO1	50	84.9	0.044
AP2B	LAA1	52	78.8	0.11
AP2B	SCC3	53	75.7	0.16
AP2B	USO1	55	73.4	0.2
AP2B	TR732	56	70.4	0.27
AP2B	KOG1	57	68.3	0.32
AP2B	HSM3	60	46.6	1.3
AP2B	IPI1	61	46.3	1.4
AP2B	SYO1	62	44.6	1.5
AP2B	MAK21	63	41.2	1.9
AP2B	TSC11	65	38.4	2.2
AP2B	HGH1	66	35.0	2.7
AP2B	SIL1	67	24.4	5.5
AP2B	SCY1	68	21.0	7
AP2B	BLM10	69	20.2	7.5
XPO1	CSE1	5	100.0	5.8e-35
XPO1	KA120	6	99.9	6.8e-32
XPO1	IMB4	7	99.9	4.9e-27
XPO1	SXM1	8	99.9	3.4e-31
XPO1	IMB1	9	99.9	1.0e-30
XPO1	NMD5	11	99.9	2.4e-32
XPO1	IMB3	12	99.8	1.7e-24
XPO1	IMB2	13	99.8	1.4e-26
XPO1	RRP12	14	98.0	1.1e-9
XPO1	SF3B1	15	97.9	3.4e-9
XPO1	GCN1	16	97.7	1.0e-8
XPO1	ECM29	17	97.4	9.2e-8
XPO1	TOR1	18	96.9	1.1e-6
XPO1	VAC14	19	96.8	1.7e-6
XPO1	UTP20	20	96.8	1.9e-6
XPO1	2AAA	21	96.8	1.7e-6
XPO1	TOR2	22	96.6	3.2e-6
XPO1	UTP10	23	96.5	6.4e-6
XPO1	IMA1	24	92.7	0.0029
XPO1	STU2	25	92.0	0.0045
XPO1	MET18	26	89.3	0.014
XPO1	VAC8	27	89.0	0.016
XPO1	EF3B	28	87.6	0.023
XPO1	EF3A	29	87.6	0.024
XPO1	AP1B1	30	85.5	0.038
XPO1	UFD4	31	85.0	0.042
XPO1	NEW1	32	82.4	0.067
XPO1	RTP1	33	81.1	0.081
XPO1	CEX1	34	76.2	0.15
XPO1	COPG	35	74.1	0.19
XPO1	MOT1	36	72.0	0.23
XPO1	PDS5	37	71.5	0.24
XPO1	AP3B	38	70.7	0.26
XPO1	VPS15	39	67.9	0.33
XPO1	IPI1	40	58.6	0.64
XPO1	AP3D	41	53.0	0.92
XPO1	CND1	42	52.4	0.95
XPO1	COPB	43	45.5	1.4
XPO1	SCC2	44	44.5	1.5
XPO1	FES1	45	42.4	1.7
XPO1	AP2B	46	41.6	1.8
XPO1	STU1	47	39.6	2
XPO1	TTI1	48	34.3	2.8
XPO1	CND3	49	29.6	3.8
XPO1	SCC3	50	25.6	5
XPO1	VID28	51	20.3	7.4
2AAA	IMB2	1	99.8	3.6e-24
2AAA	SF3B1	2	99.8	5.7e-25
2AAA	GCN1	3	99.8	3.5e-24
2AAA	ECM29	4	99.8	2.3e-24
2AAA	IMB3	5	99.7	2.6e-23
2AAA	AP1B1	6	99.7	3.4e-22
2AAA	TOR2	7	99.6	2.4e-20
2AAA	TOR1	8	99.6	4.8e-20
2AAA	VAC14	9	99.6	1.7e-20
2AAA	IMB4	10	99.6	1.7e-20
2AAA	IMB1	11	99.6	4.4e-21
2AAA	VAC8	12	99.5	2.7e-18
2AAA	COPG	13	99.5	7.6e-19
2AAA	AP2B	14	99.5	5.1e-19
2AAA	STU2	15	99.4	1.1e-17
2AAA	UTP20	16	99.4	2.0e-17
2AAA	COPB	17	99.4	2.9e-17
2AAA	AP3D	18	99.3	3.5e-16
2AAA	AP3B	19	99.3	5.4e-17
2AAA	MET18	20	99.2	8.0e-16
2AAA	IMA1	21	99.2	1.4e-15
2AAA	MOT1	22	99.2	9.1e-16
2AAA	UTP10	23	99.0	6.5e-14
2AAA	AP1G1	24	99.0	2.0e-14
2AAA	RRP12	25	98.9	1.1e-13
2AAA	AP2A	26	98.7	1.8e-12
2AAA	VPS15	27	98.6	6.4e-12
2AAA	DOHH	28	98.5	1.6e-11
2AAA	CEX1	29	98.4	2.7e-11
2AAA	SCC2	30	98.4	3.0e-11
2AAA	VID28	31	98.3	9.8e-11
2AAA	RPN2	32	98.3	9.2e-11
2AAA	KA120	33	98.2	2.5e-10
2AAA	CSE1	34	98.2	2.6e-10
2AAA	PDS5	35	98.1	7.2e-10
2AAA	STU1	36	98.1	6.4e-10
2AAA	SHE4	37	98.0	1.1e-9
2AAA	EF3B	39	97.9	3.1e-9
2AAA	SXM1	40	97.9	3.4e-9
2AAA	NMD5	41	97.9	3.5e-9
2AAA	EF3A	42	97.9	2.5e-9
2AAA	UFD4	43	97.7	1.0e-8
2AAA	NEW1	44	97.7	1.3e-8
2AAA	CND1	45	97.7	1.4e-8
2AAA	CND3	46	97.7	9.9e-9
2AAA	RTP1	47	96.9	1.1e-6
2AAA	TR732	49	96.1	2.4e-5
2AAA	FES1	50	95.8	5.2e-5
2AAA	XPO1	52	95.6	7.8e-5
2AAA	RPN1	53	95.6	7.8e-5
2AAA	VATH	54	95.6	7.2e-5
2AAA	SYO1	55	95.4	0.00013
2AAA	HGH1	56	95.0	0.00024
2AAA	SCY1	57	94.7	0.00038
2AAA	KOG1	58	94.5	0.00056
2AAA	SCC3	60	93.4	0.0016
2AAA	IPI1	61	93.2	0.0019
2AAA	BLM10	64	89.7	0.012
2AAA	LAA1	65	89.2	0.015
2AAA	USO1	68	86.8	0.029
2AAA	TAO3	69	80.9	0.084
2AAA	HSM3	71	74.4	0.18
2AAA	MAK21	72	66.3	0.37
2AAA	TSC11	74	59.1	0.62
2AAA	SIL1	75	56.5	0.74
2AAA	TTI1	77	46.8	1.3
2AAA	LTN1	78	38.1	2.2
COPG	AP3D	1	100.0	8.4e-48
COPG	AP2A	2	100.0	1.5e-61
COPG	COPB	3	100.0	3.8e-91
COPG	AP2B	4	100.0	2.6e-48
COPG	AP3B	5	100.0	7.0e-46
COPG	AP1G1	6	100.0	4.4e-49
COPG	AP1B1	7	100.0	5.9e-47
COPG	2AAA	8	99.4	2.4e-17
COPG	IMB3	9	98.8	7.5e-13
COPG	SF3B1	10	98.7	2.6e-12
COPG	VAC8	11	98.7	1.5e-12
COPG	IMB2	12	98.6	8.2e-12
COPG	VAC14	13	98.5	1.5e-11
COPG	GCN1	14	98.5	2.0e-11
COPG	TOR2	15	98.4	4.0e-11
COPG	IMA1	16	98.4	3.7e-11
COPG	IMB1	17	98.4	4.3e-11
COPG	RPN2	18	98.4	5.4e-11
COPG	IMB4	19	98.3	1.7e-10
COPG	TOR1	20	98.2	2.6e-10
COPG	DOHH	21	98.2	3.7e-10
COPG	ECM29	22	98.2	3.3e-10
COPG	STU2	23	97.5	4.4e-8
COPG	VID28	24	97.3	1.1e-7
COPG	MET18	25	97.2	3.0e-7
COPG	PDS5	26	97.1	5.3e-7
COPG	UTP20	27	97.0	5.6e-7
COPG	SHE4	28	96.8	1.4e-6
COPG	SCC2	29	96.7	2.7e-6
COPG	UTP10	30	96.5	6.0e-6
COPG	UFD4	31	96.4	8.7e-6
COPG	MOT1	32	96.4	7.1e-6
COPG	VPS15	33	96.1	2.5e-5
COPG	RRP12	34	96.0	2.8e-5
COPG	RPN1	35	96.0	3.0e-5
COPG	CND3	36	95.5	9.5e-5
COPG	KA120	37	95.4	0.00012
COPG	NMD5	38	95.3	0.00014
COPG	NEW1	39	95.2	0.00018
COPG	CND1	40	95.2	0.00018
COPG	CEX1	41	95.2	0.00017
COPG	EF3A	42	95.1	0.00022
COPG	EF3B	43	95.0	0.00026
COPG	RTP1	44	94.9	0.00032
COPG	STU1	45	94.8	0.00036
COPG	CSE1	46	94.6	0.00049
COPG	SXM1	47	94.1	0.00085
COPG	TR732	48	93.0	0.0024
COPG	FES1	50	91.2	0.0068
COPG	VATH	51	90.1	0.011
COPG	XPO1	52	84.8	0.044
COPG	HGH1	53	83.9	0.053
COPG	MAK21	55	82.3	0.068
COPG	USO1	56	81.4	0.078
COPG	SCC3	58	78.4	0.12
COPG	KOG1	60	70.5	0.26
COPG	IPI1	61	69.6	0.28
COPG	HSM3	62	68.8	0.3
COPG	LAA1	63	67.6	0.33
COPG	TSC11	65	53.9	0.86
COPG	SYO1	66	49.1	1.2
COPG	SIL1	68	42.5	1.7
COPG	SDA1	69	33.2	3
MOT1	INO80	1	100.0	2.6e-67
MOT1	CHD1	5	100.0	4.2e-55
MOT1	TOR2	42	99.7	1.9e-21
MOT1	GCN1	44	99.7	6.6e-23
MOT1	IMB4	60	99.6	2.1e-20
MOT1	IMB3	69	99.5	3.0e-18
MOT1	IMB2	70	99.5	4.3e-19
MOT1	TOR1	72	99.4	1.1e-17
MOT1	SF3B1	73	99.4	3.8e-18
MOT1	IMB1	74	99.4	2.4e-17
MOT1	ECM29	81	99.4	8.4e-18
MOT1	2AAA	86	99.3	4.0e-17
MOT1	VAC14	90	99.0	1.4e-14
MOT1	UTP10	91	98.7	1.6e-12
MOT1	UTP20	92	98.7	3.0e-12
MOT1	MET18	93	98.4	6.3e-11
MOT1	RRP12	94	98.4	5.2e-11
MOT1	STU2	98	97.9	2.4e-9
MOT1	COPG	99	97.9	3.5e-9
MOT1	CSE1	100	97.8	4.4e-9
MOT1	EF3A	101	97.7	1.3e-8
MOT1	KA120	102	97.6	1.7e-8
MOT1	AP1B1	103	97.6	3.0e-8
MOT1	NEW1	104	97.5	3.4e-8
MOT1	EF3B	105	97.4	7.2e-8
MOT1	SXM1	106	97.4	8.2e-8
MOT1	NMD5	108	97.3	1.2e-7
MOT1	VAC8	109	97.0	6.5e-7
MOT1	IMA1	110	96.8	1.5e-6
MOT1	AP2B	111	96.6	4.4e-6
MOT1	COPB	113	96.1	1.9e-5
MOT1	AP3D	114	95.6	8.7e-5
MOT1	AP3B	115	95.5	9.6e-5
MOT1	RPN2	116	95.5	9.5e-5
MOT1	XPO1	121	94.8	0.00036
MOT1	STU1	124	94.7	0.0004
MOT1	AP1G1	125	94.3	0.00064
MOT1	VPS15	127	94.0	0.00091
MOT1	CEX1	128	93.4	0.0017
MOT1	SHE4	129	93.3	0.0018
MOT1	RTP1	130	93.1	0.0022
MOT1	DOHH	131	91.6	0.0056
MOT1	AP2A	132	91.2	0.0067
MOT1	PDS5	134	90.7	0.0082
MOT1	IPI1	135	89.5	0.013
MOT1	VID28	136	89.1	0.015
MOT1	TR732	137	89.0	0.016
MOT1	LAA1	140	86.7	0.029
MOT1	UFD4	141	85.9	0.035
MOT1	CND3	144	83.8	0.053
MOT1	SCC2	146	81.0	0.083
MOT1	FES1	147	80.6	0.087
MOT1	CND1	149	75.8	0.16
MOT1	BLM10	150	74.5	0.18
MOT1	SYO1	151	64.9	0.41
MOT1	TTI1	155	46.3	1.4
MOT1	HGH1	156	42.3	1.7
MOT1	RPN1	157	38.8	2.2
MOT1	VATH	159	34.4	2.8
MOT1	LTN1	160	32.4	3.2
MOT1	USO1	161	30.2	3.7
MOT1	SCC3	162	25.9	4.9
IMB3	IMB2	1	100.0	1.6e-35
IMB3	IMB4	2	100.0	1.4e-58
IMB3	IMB1	3	100.0	4.1e-40
IMB3	RRP12	4	100.0	1.8e-39
IMB3	TOR1	5	99.9	4.5e-28
IMB3	KA120	6	99.9	2.0e-30
IMB3	UTP20	7	99.9	2.6e-27
IMB3	SXM1	8	99.9	9.9e-29
IMB3	GCN1	9	99.9	9.6e-29
IMB3	NMD5	11	99.9	4.8e-27
IMB3	CSE1	12	99.9	1.5e-31
IMB3	ECM29	13	99.9	2.0e-28
IMB3	MET18	14	99.8	2.9e-24
IMB3	TOR2	15	99.8	1.0e-25
IMB3	XPO1	16	99.8	1.4e-23
IMB3	SF3B1	17	99.8	8.1e-25
IMB3	2AAA	20	99.7	5.3e-22
IMB3	UTP10	22	99.5	1.3e-18
IMB3	VAC14	24	99.4	1.9e-17
IMB3	COPG	25	99.1	7.0e-15
IMB3	STU2	26	99.0	2.8e-14
IMB3	AP1B1	27	98.9	7.4e-14
IMB3	MOT1	28	98.8	2.9e-13
IMB3	VAC8	29	98.7	9.9e-13
IMB3	AP2B	30	98.2	3.6e-10
IMB3	IMA1	31	98.1	8.7e-10
IMB3	AP3B	32	98.1	5.8e-10
IMB3	EF3B	33	97.7	1.6e-8
IMB3	COPB	34	97.7	9.4e-9
IMB3	EF3A	35	97.7	1.7e-8
IMB3	AP3D	36	97.6	3.1e-8
IMB3	NEW1	37	97.6	2.0e-8
IMB3	SCC2	38	97.3	1.3e-7
IMB3	AP1G1	39	97.3	1.4e-7
IMB3	STU1	40	97.2	2.3e-7
IMB3	RTP1	41	97.1	3.3e-7
IMB3	VPS15	42	96.9	1.2e-6
IMB3	UFD4	43	96.7	3.1e-6
IMB3	AP2A	44	96.7	2.2e-6
IMB3	CND1	45	96.6	3.3e-6
IMB3	PDS5	46	96.5	6.8e-6
IMB3	CEX1	47	96.5	6.7e-6
IMB3	VID28	48	96.3	1.3e-5
IMB3	RPN2	49	95.9	3.6e-5
IMB3	SHE4	50	95.7	5.7e-5
IMB3	DOHH	51	95.6	7.5e-5
IMB3	CND3	52	95.4	0.00013
IMB3	FES1	53	94.2	0.00072
IMB3	TTI1	54	93.0	0.0024
IMB3	IPI1	55	92.7	0.0029
IMB3	TR732	56	91.9	0.0048
IMB3	LAA1	57	90.7	0.0084
IMB3	VATH	59	85.4	0.039
IMB3	USO1	60	85.2	0.04
IMB3	SIL1	63	78.3	0.12
IMB3	SYO1	64	78.2	0.12
IMB3	LTN1	65	76.5	0.14
IMB3	SCC3	67	71.5	0.24
IMB3	BLM10	68	70.7	0.26
IMB3	HGH1	71	61.9	0.51
IMB3	KOG1	73	60.4	0.57
IMB3	SCY1	74	60.2	0.58
IMB3	TSC11	75	35.3	2.7
IMB3	MAK21	76	25.0	5.2
IMB3	HSM3	77	20.9	7.1
HYM1	VAC8	1	93.2	0.002
HYM1	IMA1	2	92.9	0.0025
HYM1	FES1	3	74.3	0.18
HYM1	MAK21	4	69.2	0.29
HYM1	VID28	5	62.4	0.49
HYM1	TOR1	6	53.1	0.91
HYM1	PDS5	7	40.8	1.9
HYM1	2AAA	8	37.2	2.4
HYM1	USO1	9	35.4	2.6
HYM1	IMB2	10	29.7	3.8
HYM1	SF3B1	11	27.8	4.3
HYM1	VAC14	12	26.4	4.7
HYM1	TOR2	13	25.6	5
HYM1	IMB3	15	21.0	7
RPN2	RPN1	1	100.0	4.1e-96
RPN2	DOHH	3	98.4	4.7e-11
RPN2	AP1B1	4	97.7	8.8e-9
RPN2	2AAA	5	97.4	9.9e-8
RPN2	COPB	6	97.1	4.4e-7
RPN2	AP2B	7	97.0	8.3e-7
