Network_species	Gene	Cluster
S_pombe	SPBC20F10.03	5
S_pombe	ppk32	11
S_pombe	mon2	12
S_pombe	par2	17
S_pombe	par1	17
S_pombe	SPAC4F10.09c	13
S_pombe	SPAC18B11.11	18
S_pombe	tsc2	18
S_pombe	SPBC337.03	19
S_pombe	ctk3	19
S_pombe	pmo25	1
S_pombe	mip1	20
S_pombe	pof3	4
S_pombe	nuc2	4
S_pombe	sec73	21
S_pombe	sec71	12
S_pombe	hse1	22
S_pombe	xpo1	6
S_pombe	sec72	12
S_pombe	sec74	21
S_pombe	SPAC1142.04	23
S_pombe	nop14	23
S_pombe	noc3	13
S_pombe	SPBC1604.06c	13
S_pombe	SPAC1071.03c	24
S_pombe	upf2	7
S_pombe	cbc1	7
S_pombe	lsb5	14
S_pombe	rec11	25
S_pombe	SPAC1F3.05	14
S_pombe	SPBC16H5.13	20
S_pombe	tra1	26
S_pombe	kap113	27
S_pombe	SPBC216.01c	1
S_pombe	ppk19	11
S_pombe	los1	6
S_pombe	cwf22	7
S_pombe	tif471	7
S_pombe	sec26	28
S_pombe	ctnnbl1	1
S_pombe	SPAC1F5.11c	26
S_pombe	rad3	4
S_pombe	rpn1	8
S_pombe	rpn2	8
S_pombe	ste20	29
S_pombe	rtp1	9
S_pombe	ecm29	2
S_pombe	rng3	1
S_pombe	sst4	22
S_pombe	fes1	24
S_pombe	paa1	2
S_pombe	psc3	25
S_pombe	stt4	4
S_pombe	dis1	5
S_pombe	peg1	5
S_pombe	tor2	4
S_pombe	uso1	1
S_pombe	taf2	8
S_pombe	ipi1	15
S_pombe	ppk3	11
S_pombe	pds5	10
S_pombe	hgh1	1
S_pombe	SPBC25H2.03	5
S_pombe	mms19	2
S_pombe	SPBC1703.03c	1
S_pombe	alp14	5
S_pombe	arz1	1
S_pombe	vma13	1
S_pombe	kap111	6
S_pombe	kap109	30
S_pombe	SPCC550.11	27
S_pombe	cnd1	10
S_pombe	ent1	31
S_pombe	SPCC794.11c	31
S_pombe	prp10	2
S_pombe	tti1	3
S_pombe	SPAC328.01c	6
S_pombe	utp10	3
S_pombe	SPBC25H2.16c	14
S_pombe	apl4	16
S_pombe	SPBC1105.01	15
S_pombe	SPAC12B10.01c	1
S_pombe	alp1	2
S_pombe	sip1	3
S_pombe	tor1	4
S_pombe	kap104	3
S_pombe	apl1	9
S_pombe	lia1	8
S_pombe	mot1	2
S_pombe	kap123	3
S_pombe	utp20	2
S_pombe	apl2	9
S_pombe	sec21	28
S_pombe	SPAC26H5.04	1
S_pombe	knd1	2
S_pombe	tef3	32
S_pombe	cnd3	10
S_pombe	apl6	9
S_pombe	SPCC18.17c	29
S_pombe	imp1	1
S_pombe	apl3	16
S_pombe	sal3	3
S_pombe	elf1	32
S_pombe	SPBC11G11.07	6
S_pombe	kap114	30
S_pombe	kap95	3
S_pombe	gcn1	2
S_pombe	rrp12	15
S_pombe	mis4	10
S_pombe	cut15	1
S_pombe	vac8	1
S_pombe	apl5	16
S_cerevisiae	NRD1	15
S_cerevisiae	SDA1	9
S_cerevisiae	SCY1	4
S_cerevisiae	RTT103	15
S_cerevisiae	PCF11	15
S_cerevisiae	TIF4632	10
S_cerevisiae	BNR1	19
S_cerevisiae	BNI1	19
S_cerevisiae	YBP1	20
S_cerevisiae	YBP2	20
S_cerevisiae	HSM3	21
S_cerevisiae	SAP155	22
S_cerevisiae	SAP185	22
S_cerevisiae	YAP1801	23
S_cerevisiae	CIN1	2
S_cerevisiae	NOC3	9
S_cerevisiae	GEA2	11
S_cerevisiae	IRA1	24
S_cerevisiae	TAO3	24
S_cerevisiae	RQC1	5
S_cerevisiae	NOC4	9
S_cerevisiae	MAK21	9
S_cerevisiae	RPN1	25
S_cerevisiae	KOG1	4
S_cerevisiae	TFC6	4
S_cerevisiae	GEA1	11
S_cerevisiae	SIL1	26
S_cerevisiae	SYO1	1
S_cerevisiae	TIF4631	10
S_cerevisiae	MSH6	12
S_cerevisiae	RTP1	2
S_cerevisiae	IPI1	3
S_cerevisiae	CSE1	6
S_cerevisiae	HYM1	1
S_cerevisiae	CHD1	16
S_cerevisiae	FES1	26
S_cerevisiae	HGH1	1
S_cerevisiae	YCG1	7
S_cerevisiae	HSE1	13
S_cerevisiae	VPS27	13
S_cerevisiae	LAA1	2
S_cerevisiae	VPS15	4
S_cerevisiae	STO1	10
S_cerevisiae	SGD1	10
S_cerevisiae	LOS1	8
S_cerevisiae	TRA1	5
S_cerevisiae	SEC7	11
S_cerevisiae	MON2	11
S_cerevisiae	ENT2	17
S_cerevisiae	ENT3	17
S_cerevisiae	GGA2	13
S_cerevisiae	USO1	1
S_cerevisiae	VMA13	1
S_cerevisiae	YTA7	27
S_cerevisiae	RFC1	27
S_cerevisiae	KAP120	6
S_cerevisiae	YAP1802	23
S_cerevisiae	INO80	16
S_cerevisiae	LSB5	13
S_cerevisiae	ENT1	17
S_cerevisiae	VAC14	2
S_cerevisiae	TTI1	3
S_cerevisiae	YEF3	12
S_cerevisiae	MSN5	8
S_cerevisiae	LIA1	14
S_cerevisiae	CTR9	5
S_cerevisiae	TEL1	28
S_cerevisiae	MEC1	28
S_cerevisiae	UTP10	3
S_cerevisiae	STU1	29
S_cerevisiae	SHE4	1
S_cerevisiae	APL3	18
S_cerevisiae	TOR2	5
S_cerevisiae	HSH155	2
S_cerevisiae	SEC21	30
S_cerevisiae	TPD3	2
S_cerevisiae	RPN2	25
S_cerevisiae	APL2	14
S_cerevisiae	YCS4	7
S_cerevisiae	VAC8	1
S_cerevisiae	APL4	18
S_cerevisiae	NMD5	6
S_cerevisiae	HEF3	12
S_cerevisiae	CRM1	8
S_cerevisiae	KAP114	6
S_cerevisiae	APL6	14
S_cerevisiae	PDS5	7
S_cerevisiae	IRR1	7
S_cerevisiae	STU2	29
S_cerevisiae	UTP20	2
S_cerevisiae	ECM29	2
S_cerevisiae	MET18	3
S_cerevisiae	MOT1	16
S_cerevisiae	RRP12	3
S_cerevisiae	PSE1	3
